codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar
352140,3521408,Iracemápolis,Limeira,Campinas,Piracicaba,22500,2025,3,3,1.33,True
352150,3521507,Irapuã,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,6932,2025,0,0,0.0,False
352160,3521606,Irapuru,Dracena,Presidente Prudente,Presidente Prudente,7120,2025,0,0,0.0,False
352170,3521705,Itaberá,Itapeva,Sorocaba,Itapetininga,18263,2025,19,19,10.4,True
352180,3521804,Itaí,Avaré,Sorocaba,Bauru,25979,2025,35,33,12.7,True
352190,3521903,Itajobi,Catanduva,São José do Rio Preto,São José do Rio Preto,17502,2025,50,35,20.0,True
352200,3522000,Itaju,Jaú,Bauru,Bauru,3715,2025,0,0,0.0,False
352210,3522109,Itanhaém,Santos,São Paulo,Litoral Sul Paulista,118495,2025,141,137,11.56,True
352215,3522158,Itaoca,Itapeva,Sorocaba,Itapetininga,3497,2025,0,0,0.0,False
352220,3522208,Itapecerica da Serra,São Paulo,São Paulo,Metropolitana de São Paulo,163003,2025,704,195,11.96,True
352230,3522307,Itapetininga,Itapetininga,Sorocaba,Itapetininga,164256,2025,216,166,10.11,True
352240,3522406,Itapeva,Itapeva,Sorocaba,Itapetininga,92393,2025,158,109,11.8,True
352250,3522505,Itapevi,São Paulo,São Paulo,Metropolitana de São Paulo,242995,2025,351,224,9.22,True
352260,3522604,Itapira,Mogi Guaçu,Campinas,Campinas,74038,2025,904,381,51.46,True
352265,3522653,Itapirapuã Paulista,Itapeva,Sorocaba,Itapetininga,4420,2025,0,0,0.0,False
352270,3522703,Itápolis,Araraquara,Araraquara,Araraquara,40445,2025,69,43,10.63,True
