posicao,codigo,municipio,indice_criticidade,ocupacao_estimada_pct,internacoes_mil_hab,leitos_sus_10k_hab,variacao_trimestral_pct,internacoes_12m,leitos_sus,populacao,perfil_dominante,alerta_capacidade
143,354940,São Joaquim da Barra,54.1,51.5,80.63,14.63,3.5,4022,73,49885,XIV. Doenças do aparelho geniturinário,Adequado
144,355210,Socorro,54.1,49.5,86.62,11.8,-5.7,3597,49,41527,II. Neoplasias (tumores),Adequado
145,352920,Martinópolis,53.8,37.3,120.72,17.04,4.7,3047,43,25240,XI. Doenças do aparelho digestivo,Adequado
146,353050,Mococa,53.8,56.7,72.65,11.82,-10.4,5040,82,69372,"XV. Gravidez, parto e puerpério",Adequado
147,350190,Amparo,53.8,83.6,65.95,31.09,-5.9,4603,217,69792,V. Transtornos mentais e comportamentais,Adequado
148,350810,Buritama,53.6,40.9,84.95,13.59,17.1,1500,24,17658,XI. Doenças do aparelho digestivo,Adequado
149,355510,Tupi Paulista,53.2,54.2,83.52,18.45,2.3,1358,30,16259,X. Doenças do aparelho respiratório,Adequado
150,350610,Bebedouro,53.1,48.3,107.94,17.76,-9.0,8447,139,78257,XI. Doenças do aparelho digestivo,Adequado
151,354970,São José do Rio Pardo,53.0,48.4,81.12,14.79,4.9,4334,79,53427,"XV. Gravidez, parto e puerpério",Adequado
152,355150,Serrana,52.4,60.8,76.63,17.99,-11.0,3493,82,45580,XI. Doenças do aparelho digestivo,Adequado
153,350740,Borborema,52.4,55.1,59.7,11.11,-4.2,860,16,14405,X. Doenças do aparelho respiratório,Adequado
154,351150,Cerquilho,52.1,44.3,21.64,5.6,51.9,1004,26,46391,IX. Doenças do aparelho circulatório,Adequado
155,355040,São Pedro,52.1,38.4,111.65,13.55,-7.7,4450,54,39855,XIV. Doenças do aparelho geniturinário,Adequado
156,354580,Santa Bárbara d'Oeste,51.0,48.9,47.68,6.49,-0.8,9034,123,189456,XI. Doenças do aparelho digestivo,Adequado
157,351830,Guararema,51.0,43.8,47.7,8.89,16.9,1556,29,32620,"XV. Gravidez, parto e puerpério",Adequado
158,353350,Novo Horizonte,50.9,49.1,59.43,10.38,-0.6,2347,41,39494,XIV. Doenças do aparelho geniturinário,Adequado
159,351940,Ibirá,50.8,53.4,34.72,7.53,2.8,415,9,11952,X. Doenças do aparelho respiratório,Adequado
160,353520,Palmeira d'Oeste,50.7,47.8,79.59,13.38,-7.2,714,12,8971,X. Doenças do aparelho respiratório,Adequado
161,354880,São Caetano do Sul,50.7,58.9,79.95,15.29,-25.6,13807,264,172693,XI. Doenças do aparelho digestivo,Adequado
162,352730,Louveira,50.3,50.0,46.4,6.38,-5.7,2546,35,54865,XI. Doenças do aparelho digestivo,Adequado
163,350970,Campos do Jordão,50.1,82.1,58.41,38.58,4.5,2801,185,47956,"XV. Gravidez, parto e puerpério",Adequado
164,353780,Piedade,49.7,45.0,56.9,11.06,6.4,3088,60,54266,X. Doenças do aparelho respiratório,Adequado
165,351220,Conchal,49.5,36.2,90.21,13.73,3.7,2628,40,29132,VII. Doenças do olho e anexos,Adequado
166,351370,Descalvado,49.1,44.2,53.03,7.65,-0.9,1732,25,32663,X. Doenças do aparelho respiratório,Adequado
167,350840,Cabreúva,49.1,37.5,18.89,3.91,86.2,919,19,48654,"XV. Gravidez, parto e puerpério",Adequado
168,351907,Hortolândia,49.1,58.8,23.06,4.14,-14.8,5739,103,248842,"XV. Gravidez, parto e puerpério",Adequado
169,354520,Salto,49.1,44.5,50.0,8.22,2.5,7056,116,141111,XI. Doenças do aparelho digestivo,Adequado
170,355100,São Vicente,48.9,60.1,28.28,5.65,-20.4,9568,191,338326,"XV. Gravidez, parto e puerpério",Adequado
171,355330,Tambaú,48.6,37.8,58.94,12.47,19.0,1276,27,21650,XIV. Doenças do aparelho geniturinário,Adequado
172,355540,Ubatuba,48.4,46.7,49.55,8.34,-4.5,4811,81,97096,"XV. Gravidez, parto e puerpério",Adequado
173,353710,Pedreira,47.9,47.0,27.15,6.31,5.5,1205,28,44385,XI. Doenças do aparelho digestivo,Adequado
174,351280,Cosmópolis,47.6,50.9,28.84,5.56,-7.9,1764,34,61167,XIX. Lesões e envenenamentos por causas externas,Adequado
175,353460,Osvaldo Cruz,47.4,41.2,81.56,18.06,3.0,2619,58,32112,XIX. Lesões e envenenamentos por causas externas,Adequado
176,350050,Águas de Lindóia,47.0,43.6,68.47,16.43,2.3,1250,30,18257,X. Doenças do aparelho respiratório,Adequado
177,351360,Cunha,46.9,42.1,60.51,11.13,-3.2,1359,25,22460,IX. Doenças do aparelho circulatório,Adequado
178,351440,Dracena,46.8,45.5,72.02,23.11,13.9,3366,108,46735,X. Doenças do aparelho respiratório,Adequado
179,353930,Pirassununga,46.8,47.6,35.39,9.0,-0.3,2675,68,75594,"XV. Gravidez, parto e puerpério",Adequado
180,355720,Chavantes,46.3,33.5,99.48,24.16,16.6,1235,30,12415,XI. Doenças do aparelho digestivo,Adequado
181,352010,Igarapava,46.2,51.8,51.66,13.49,-12.7,1379,36,26696,X. Doenças do aparelho respiratório,Adequado
182,355450,Tietê,46.2,50.0,53.43,8.52,-25.0,2069,33,38723,"XV. Gravidez, parto e puerpério",Adequado
183,354500,Salesópolis,45.8,34.8,28.48,5.85,19.3,438,9,15381,X. Doenças do aparelho respiratório,Adequado
184,354120,Presidente Bernardes,45.7,36.1,84.1,18.92,6.3,1245,28,14803,I. Doenças infecciosas e parasitárias,Adequado
185,352040,Ilhabela,45.7,49.8,77.19,12.86,-34.9,2822,47,36559,"XV. Gravidez, parto e puerpério",Adequado
186,350700,Boituva,45.6,42.2,35.16,6.89,-0.2,2245,44,63850,"XV. Gravidez, parto e puerpério",Adequado
187,350580,Bastos,45.6,35.7,52.33,10.03,8.1,1148,22,21936,X. Doenças do aparelho respiratório,Adequado
188,353670,Pederneiras,45.5,43.3,44.11,11.65,3.2,2044,54,46337,XIX. Lesões e envenenamentos por causas externas,Adequado
189,354060,Porto Feliz,45.3,43.7,75.47,12.12,-24.4,4423,71,58605,VII. Doenças do olho e anexos,Adequado
190,352400,Itupeva,45.3,43.6,29.38,6.4,-1.1,2203,48,74994,"XV. Gravidez, parto e puerpério",Adequado
191,354000,Pompéia,44.8,42.8,40.74,7.8,-7.4,836,16,20520,XXI. Contatos com serviços de saúde,Adequado
192,352470,Jaguariúna,44.6,43.4,62.99,13.48,-12.2,3925,84,62309,"XV. Gravidez, parto e puerpério",Adequado
193,352350,Itatinga,44.6,51.3,15.52,3.6,-13.3,302,7,19462,X. Doenças do aparelho respiratório,Adequado
194,351200,Colina,44.6,39.8,57.47,16.95,10.0,1085,32,18880,XIV. Doenças do aparelho geniturinário,Adequado
195,352044,Ilha Solteira,44.5,41.9,104.92,25.52,-10.7,2755,67,26257,X. Doenças do aparelho respiratório,Adequado
