posicao,codigo,municipio,indice_criticidade,ocupacao_estimada_pct,internacoes_mil_hab,leitos_sus_10k_hab,variacao_trimestral_pct,internacoes_12m,leitos_sus,populacao,perfil_dominante,alerta_capacidade
196,355020,São Miguel Arcanjo,44.4,52.6,41.91,23.99,15.8,1380,79,32924,XI. Doenças do aparelho digestivo,Adequado
197,353880,Piraju,44.4,33.2,65.69,16.17,14.1,1990,49,30294,X. Doenças do aparelho respiratório,Adequado
198,351500,Embu das Artes,43.9,50.4,13.32,3.43,-12.9,3460,89,259788,X. Doenças do aparelho respiratório,Adequado
199,354130,Presidente Epitácio,43.9,40.2,73.61,16.86,-8.1,2968,68,40322,IX. Doenças do aparelho circulatório,Adequado
200,353190,Morro Agudo,43.8,39.3,62.41,12.27,-10.1,1780,35,28521,XI. Doenças do aparelho digestivo,Adequado
201,353630,Patrocínio Paulista,43.8,28.2,66.03,20.15,33.2,983,30,14888,"XV. Gravidez, parto e puerpério",Adequado
202,350590,Batatais,43.8,44.3,61.2,16.18,-8.7,3668,97,59939,XIX. Lesões e envenenamentos por causas externas,Adequado
203,351070,Cardoso,43.4,42.6,36.34,8.71,-7.1,417,10,11476,XIV. Doenças do aparelho geniturinário,Adequado
204,353580,Paranapanema,43.3,40.1,40.15,8.06,-7.2,797,16,19853,"XV. Gravidez, parto e puerpério",Adequado
205,355630,Valparaíso,42.9,24.8,44.11,12.91,82.7,1093,32,24779,X. Doenças do aparelho respiratório,Adequado
206,353790,Pilar do Sul,42.7,27.6,38.27,9.49,22.3,1089,27,28459,"XV. Gravidez, parto e puerpério",Adequado
207,350520,Bariri,42.6,43.2,64.71,12.96,-24.1,2097,42,32406,"XV. Gravidez, parto e puerpério",Adequado
208,354630,Santa Cruz das Palmeiras,42.6,31.4,42.02,8.48,7.2,1239,25,29489,X. Doenças do aparelho respiratório,Adequado
209,355270,Tabatinga,42.6,38.9,60.35,14.67,-6.4,905,22,14997,X. Doenças do aparelho respiratório,Adequado
210,353950,Pitangueiras,42.3,30.9,42.58,8.73,7.4,1463,30,34361,"XV. Gravidez, parto e puerpério",Adequado
