codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar,internacoes_12m,valor_total_12m,media_permanencia,internacoes_ult_trim,internacoes_prim_trim,variacao_trimestral_pct,perfil_dominante,internacoes_mil_hab,giro_leito_ano,ocupacao_estimada_pct,custo_medio_internacao,perfil_permanencia,alerta_capacidade
351940,3519402,Ibirá,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,11952,2025,27,9,7.53,True,415,195047.8,4.23,109.0,106.0,2.8,X. Doenças do aparelho respiratório,34.72,46.1,53.4,469.99,Agudos,Adequado
351950,3519501,Ibirarema,Ourinhos,Marília,Assis,6450,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351960,3519600,Ibitinga,Araraquara,Araraquara,Araraquara,62143,2025,109,57,9.17,True,5050,6472463.5,2.75,1252.0,1353.0,-7.5,XIX. Lesões e envenenamentos por causas externas,81.26,88.6,66.8,1281.68,Agudos,Adequado
351970,3519709,Ibiúna,Sorocaba,Sorocaba,Macro Metropolitana Paulista,77801,2025,315,63,8.1,True,4301,2270205.8,3.32,1056.0,1138.0,-7.2,XIX. Lesões e envenenamentos por causas externas,55.28,68.3,62.1,527.83,Agudos,Adequado
351980,3519808,Icém,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,7982,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351990,3519907,Iepê,Presidente Prudente,Presidente Prudente,Assis,7739,2025,20,20,25.84,True,716,260948.47,3.38,196.0,205.0,-4.4,XIV. Doenças do aparelho geniturinário,92.52,35.8,33.2,364.45,Agudos,Adequado
352000,3520004,Igaraçu do Tietê,Jaú,Bauru,Bauru,23421,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352010,3520103,Igarapava,Ituverava,Ribeirão Preto,Ribeirão Preto,26696,2025,46,36,13.49,True,1379,894418.53,4.94,344.0,394.0,-12.7,X. Doenças do aparelho respiratório,51.66,38.3,51.8,648.6,Agudos,Adequado
352020,3520202,Igaratá,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista,10984,2025,8,8,7.28,True,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,Sem internações,Não aplicável
352030,3520301,Iguape,Registro,Sorocaba,Litoral Sul Paulista,29891,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352040,3520400,Ilhabela,Caraguatatuba - Ubatuba - São Sebastião,São José dos Campos,Vale do Paraíba Paulista,36559,2025,47,47,12.86,True,2822,2190660.64,3.03,547.0,840.0,-34.9,"XV. Gravidez, parto e puerpério",77.19,60.0,49.8,776.28,Agudos,Adequado
352042,3520426,Ilha Comprida,Registro,Sorocaba,Litoral Sul Paulista,14104,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352044,3520442,Ilha Solteira,Andradina,Araçatuba,Araçatuba,26257,2025,71,67,25.52,True,2755,3414321.58,3.72,693.0,776.0,-10.7,X. Doenças do aparelho respiratório,104.92,41.1,41.9,1239.32,Agudos,Adequado
352050,3520509,Indaiatuba,Campinas,Campinas,Campinas,269657,2025,431,246,9.12,True,22745,27675591.54,3.53,5712.0,5826.0,-2.0,XIX. Lesões e envenenamentos por causas externas,84.35,92.5,89.4,1216.78,Agudos,Atenção
352060,3520608,Indiana,Presidente Prudente,Presidente Prudente,Presidente Prudente,5200,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352070,3520707,Indiaporã,Fernandópolis,São José do Rio Preto,São José do Rio Preto,4113,2025,36,4,9.73,True,384,145961.01,3.2,102.0,86.0,18.6,XIV. Doenças do aparelho geniturinário,93.36,96.0,84.2,380.11,Agudos,Adequado
352080,3520806,Inúbia Paulista,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente,3671,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352090,3520905,Ipaussu,Ourinhos,Marília,Assis,13935,2025,49,28,20.09,True,842,429245.07,3.1,228.0,241.0,-5.4,X. Doenças do aparelho respiratório,60.42,30.1,25.5,509.79,Agudos,Adequado
352100,3521002,Iperó,Sorocaba,Sorocaba,Macro Metropolitana Paulista,38277,2025,15,15,3.92,True,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,Sem internações,Não aplicável
352110,3521101,Ipeúna,Rio Claro,Campinas,Piracicaba,7027,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352115,3521150,Ipiguá,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,7115,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352120,3521200,Iporanga,Registro,Sorocaba,Itapetininga,4083,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352130,3521309,Ipuã,São Joaquim da Barra ¿ Orlândia,Ribeirão Preto,Ribeirão Preto,14701,2025,50,43,29.25,True,1089,544667.32,2.83,252.0,302.0,-16.6,XII. Doenças da pele e do tecido subcutâneo,74.08,25.3,19.6,500.15,Agudos,Adequado
352140,3521408,Iracemápolis,Limeira,Campinas,Piracicaba,22500,2025,3,3,1.33,True,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,Sem internações,Não aplicável
352150,3521507,Irapuã,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,6932,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352160,3521606,Irapuru,Dracena,Presidente Prudente,Presidente Prudente,7120,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352170,3521705,Itaberá,Itapeva,Sorocaba,Itapetininga,18263,2025,19,19,10.4,True,1049,545731.36,2.15,176.0,278.0,-36.7,X. Doenças do aparelho respiratório,57.44,55.2,32.5,520.24,Agudos,Adequado
352180,3521804,Itaí,Avaré,Sorocaba,Bauru,25979,2025,35,33,12.7,True,1024,396706.24,2.73,276.0,262.0,5.3,X. Doenças do aparelho respiratório,39.42,31.0,23.2,387.41,Agudos,Adequado
352190,3521903,Itajobi,Catanduva,São José do Rio Preto,São José do Rio Preto,17502,2025,50,35,20.0,True,751,258749.52,7.35,223.0,219.0,1.8,X. Doenças do aparelho respiratório,42.91,21.5,43.2,344.54,Agudos,Adequado
352200,3522000,Itaju,Jaú,Bauru,Bauru,3715,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352210,3522109,Itanhaém,Santos,São Paulo,Litoral Sul Paulista,118495,2025,141,137,11.56,True,12011,15544990.86,4.37,3125.0,3001.0,4.1,"XV. Gravidez, parto e puerpério",101.36,87.7,105.0,1294.23,Agudos,Crítico
352215,3522158,Itaoca,Itapeva,Sorocaba,Itapetininga,3497,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
352220,3522208,Itapecerica da Serra,São Paulo,São Paulo,Metropolitana de São Paulo,163003,2025,704,195,11.96,True,17161,19600600.44,3.76,4161.0,3830.0,8.6,"XV. Gravidez, parto e puerpério",105.28,88.0,90.7,1142.16,Agudos,Atenção
352230,3522307,Itapetininga,Itapetininga,Sorocaba,Itapetininga,164256,2025,216,166,10.11,True,10461,12023489.0,5.88,2704.0,2687.0,0.6,"XV. Gravidez, parto e puerpério",63.69,63.0,101.5,1149.36,Agudos,Crítico
352240,3522406,Itapeva,Itapeva,Sorocaba,Itapetininga,92393,2025,158,109,11.8,True,9507,15944886.97,3.93,2484.0,2391.0,3.9,"XV. Gravidez, parto e puerpério",102.9,87.2,93.9,1677.17,Agudos,Atenção
352250,3522505,Itapevi,São Paulo,São Paulo,Metropolitana de São Paulo,242995,2025,351,224,9.22,True,15818,15504261.6,4.08,3918.0,4216.0,-7.1,"XV. Gravidez, parto e puerpério",65.1,70.6,78.9,980.17,Agudos,Adequado
352260,3522604,Itapira,Mogi Guaçu,Campinas,Campinas,74038,2025,904,381,51.46,True,5862,13183066.17,25.18,1269.0,1615.0,-21.4,V. Transtornos mentais e comportamentais,79.18,15.4,106.1,2248.9,Longa permanência,Não aplicável
352265,3522653,Itapirapuã Paulista,Itapeva,Sorocaba,Itapetininga,4420,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
