codigo,municipio,leitos_existentes,leitos_sus
353110,MONGAGUA,36,36
353120,MONTE ALEGRE DO SUL,0,0
353130,MONTE ALTO,88,42
353140,MONTE APRAZIVEL,80,30
353150,MONTE AZUL PAULISTA,70,51
353160,MONTE CASTELO,0,0
353170,MONTEIRO LOBATO,0,0
353180,MONTE MOR,35,26
353190,MORRO AGUDO,47,35
353200,MORUNGABA,8,8
353205,MOTUCA,0,0
353210,MURUTINGA DO SUL,0,0
353215,NANTES,0,0
353220,NARANDIBA,0,0
353230,NATIVIDADE DA SERRA,0,0
353240,NAZARE PAULISTA,26,17
353250,NEVES PAULISTA,21,10
353260,NHANDEARA,129,35
353270,NIPOA,0,0
353280,NOVA ALIANCA,0,0
353282,NOVA CAMPINA,0,0
353284,NOVA CANAA PAULISTA,0,0
353286,NOVA CASTILHO,0,0
353290,NOVA EUROPA,16,12
353300,NOVA GRANADA,62,31
353310,NOVA GUATAPORANGA,0,0
353320,NOVA INDEPENDENCIA,0,0
353325,NOVAIS,0,0
353330,NOVA LUZITANIA,0,0
353340,NOVA ODESSA,60,60
353350,NOVO HORIZONTE,73,41
353360,NUPORANGA,0,0
353370,OCAUCU,0,0
353380,OLEO,0,0
353390,OLIMPIA,82,50
353400,ONDA VERDE,0,0
353410,ORIENTE,0,0
353420,ORINDIUVA,0,0
353430,ORLANDIA,98,60
353440,OSASCO,1038,644
353450,OSCAR BRESSANE,0,0
353460,OSVALDO CRUZ,96,58
353470,OURINHOS,205,111
353475,OUROESTE,33,28
353480,OURO VERDE,0,0
353490,PACAEMBU,0,0
353500,PALESTINA,0,0
353510,PALMARES PAULISTA,0,0
353520,PALMEIRA D'OESTE,20,12
353530,PALMITAL,43,29
353540,PANORAMA,0,0
353550,PARAGUACU PAULISTA,100,73
353560,PARAIBUNA,0,0
353570,PARAISO,0,0
353580,PARANAPANEMA,16,16
353590,PARANAPUA,0,0
353600,PARAPUA,32,26
353610,PARDINHO,0,0
353620,PARIQUERA-ACU,139,139
353625,PARISI,0,0
353630,PATROCINIO PAULISTA,35,30
353640,PAULICEIA,0,0
353650,PAULINIA,171,154
353657,PAULISTANIA,0,0
353660,PAULO DE FARIA,24,18
353670,PEDERNEIRAS,62,54
353680,PEDRA BELA,0,0
