codigo,codigo_ibge,municipio,populacao,ano
353560,3535606,Paraibuna - SP,17959,2025
353570,3535705,Paraíso - SP,6218,2025
353580,3535804,Paranapanema - SP,19853,2025
353590,3535903,Paranapuã - SP,4118,2025
353600,3536000,Parapuã - SP,10720,2025
353610,3536109,Pardinho - SP,7435,2025
353620,3536208,Pariquera-Açu - SP,19603,2025
353625,3536257,Parisi - SP,3030,2025
353630,3536307,Patrocínio Paulista - SP,14888,2025
353640,3536406,Paulicéia - SP,8255,2025
353650,3536505,Paulínia - SP,116674,2025
353657,3536570,Paulistânia - SP,2156,2025
353660,3536604,Paulo de Faria - SP,7390,2025
353670,3536703,Pederneiras - SP,46337,2025
353680,3536802,Pedra Bela - SP,6745,2025
353690,3536901,Pedranópolis - SP,2856,2025
353700,3537008,Pedregulho - SP,15737,2025
353710,3537107,Pedreira - SP,44385,2025
353715,3537156,Pedrinhas Paulista - SP,2833,2025
353720,3537206,Pedro de Toledo - SP,11617,2025
353730,3537305,Penápolis - SP,63426,2025
353740,3537404,Pereira Barreto - SP,24360,2025
353750,3537503,Pereiras - SP,9013,2025
353760,3537602,Peruíbe - SP,70629,2025
353770,3537701,Piacatu - SP,5631,2025
353780,3537800,Piedade - SP,54266,2025
353790,3537909,Pilar do Sul - SP,28459,2025
