codigo,codigo_ibge,municipio,populacao,ano
354490,3544905,Sales Oliveira - SP,11683,2025
354500,3545001,Salesópolis - SP,15381,2025
354510,3545100,Salmourão - SP,4883,2025
354515,3545159,Saltinho - SP,8407,2025
354520,3545209,Salto - SP,141111,2025
354530,3545308,Salto de Pirapora - SP,45262,2025
354540,3545407,Salto Grande - SP,9221,2025
354550,3545506,Sandovalina - SP,3697,2025
354560,3545605,Santa Adélia - SP,14193,2025
354570,3545704,Santa Albertina - SP,6566,2025
354580,3545803,Santa Bárbara d'Oeste - SP,189456,2025
354600,3546009,Santa Branca - SP,14219,2025
354610,3546108,Santa Clara d'Oeste - SP,2694,2025
354620,3546207,Santa Cruz da Conceição - SP,4375,2025
354625,3546256,Santa Cruz da Esperança - SP,2168,2025
354630,3546306,Santa Cruz das Palmeiras - SP,29489,2025
354640,3546405,Santa Cruz do Rio Pardo - SP,47759,2025
354650,3546504,Santa Ernestina - SP,6274,2025
354660,3546603,Santa Fé do Sul - SP,36288,2025
354670,3546702,Santa Gertrudes - SP,23192,2025
354680,3546801,Santa Isabel - SP,54691,2025
354690,3546900,Santa Lúcia - SP,7144,2025
354700,3547007,Santa Maria da Serra - SP,5308,2025
354710,3547106,Santa Mercedes - SP,3017,2025
354720,3547205,Santana da Ponte Pensa - SP,1699,2025
354730,3547304,Santana de Parnaíba - SP,163787,2025
354740,3547403,Santa Rita d'Oeste - SP,2796,2025
354750,3547502,Santa Rita do Passa Quatro - SP,24996,2025
354760,3547601,Santa Rosa de Viterbo - SP,23710,2025
354765,3547650,Santa Salete - SP,1692,2025
354770,3547700,Santo Anastácio - SP,17960,2025
354780,3547809,Santo André - SP,782048,2025
354790,3547908,Santo Antônio da Alegria - SP,6933,2025
354800,3548005,Santo Antônio de Posse - SP,23867,2025
354805,3548054,Santo Antônio do Aracanguá - SP,8593,2025
354810,3548104,Santo Antônio do Jardim - SP,6243,2025
354820,3548203,Santo Antônio do Pinhal - SP,7314,2025
354830,3548302,Santo Expedito - SP,3069,2025
354840,3548401,Santópolis do Aguapeí - SP,3921,2025
354850,3548500,Santos - SP,429547,2025
354860,3548609,São Bento do Sapucaí - SP,11989,2025
354870,3548708,São Bernardo do Campo - SP,841154,2025
354880,3548807,São Caetano do Sul - SP,172693,2025
354890,3548906,São Carlos - SP,266427,2025
354900,3549003,São Francisco - SP,2623,2025
354910,3549102,São João da Boa Vista - SP,96080,2025
354920,3549201,São João das Duas Pontes - SP,2623,2025
354925,3549250,São João de Iracema - SP,1882,2025
354930,3549300,São João do Pau d'Alho - SP,2293,2025
354940,3549409,São Joaquim da Barra - SP,49885,2025
354950,3549508,São José da Bela Vista - SP,7664,2025
354960,3549607,São José do Barreiro - SP,3888,2025
354970,3549706,São José do Rio Pardo - SP,53427,2025
354980,3549805,São José do Rio Preto - SP,504166,2025
354990,3549904,São José dos Campos - SP,727078,2025
354995,3549953,São Lourenço da Serra - SP,16479,2025
355000,3550001,São Luiz do Paraitinga - SP,10487,2025
355010,3550100,São Manuel - SP,38131,2025
355020,3550209,São Miguel Arcanjo - SP,32924,2025
355030,3550308,São Paulo - SP,11904961,2025
355040,3550407,São Pedro - SP,39855,2025
355050,3550506,São Pedro do Turvo - SP,7333,2025
355060,3550605,São Roque - SP,81366,2025
355070,3550704,São Sebastião - SP,84280,2025
355080,3550803,São Sebastião da Grama - SP,10428,2025
355090,3550902,São Simão - SP,13560,2025
355100,3551009,São Vicente - SP,338326,2025
355110,3551108,Sarapuí - SP,10677,2025
355120,3551207,Sarutaiá - SP,3772,2025
355130,3551306,Sebastianópolis do Sul - SP,3191,2025
355140,3551405,Serra Azul - SP,13108,2025
355150,3551504,Serrana - SP,45580,2025
355160,3551603,Serra Negra - SP,31047,2025
355170,3551702,Sertãozinho - SP,132176,2025
355180,3551801,Sete Barras - SP,12903,2025
355190,3551900,Severínia - SP,14693,2025
355200,3552007,Silveiras - SP,6329,2025
355210,3552106,Socorro - SP,41527,2025
355220,3552205,Sorocaba - SP,762172,2025
355230,3552304,Sud Mennucci - SP,7464,2025
355240,3552403,Sumaré - SP,291116,2025
355250,3552502,Suzano - SP,320261,2025
355255,3552551,Suzanápolis - SP,3465,2025
355260,3552601,Tabapuã - SP,11498,2025
355270,3552700,Tabatinga - SP,14997,2025
355280,3552809,Taboão da Serra - SP,285307,2025
355290,3552908,Taciba - SP,6418,2025
355300,3553005,Taguaí - SP,13068,2025
355310,3553104,Taiaçu - SP,5744,2025
355320,3553203,Taiúva - SP,6770,2025
