codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao
351640,3516408,Franco da Rocha,São Paulo,São Paulo,Metropolitana de São Paulo
351650,3516507,Gabriel Monteiro,Birigui - Penápolis,Araçatuba,Araçatuba
351660,3516606,Gália,Marília,Marília,Marília
351670,3516705,Garça,Marília,Marília,Marília
351680,3516804,Gastão Vidigal,Araçatuba,Araçatuba,São José do Rio Preto
351685,3516853,Gavião Peixoto,Araraquara,Araraquara,Araraquara
351690,3516903,General Salgado,Araçatuba,Araçatuba,São José do Rio Preto
351700,3517000,Getulina,Marília,Marília,Bauru
351710,3517109,Glicério,Birigui - Penápolis,Araçatuba,Araçatuba
351720,3517208,Guaiçara,Lins,Bauru,Bauru
351730,3517307,Guaimbê,Marília,Marília,Bauru
351740,3517406,Guaíra,Barretos,Ribeirão Preto,Ribeirão Preto
351750,3517505,Guapiaçu,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
351760,3517604,Guapiara,Itapeva,Sorocaba,Itapetininga
351770,3517703,Guará,Ituverava,Ribeirão Preto,Ribeirão Preto
351780,3517802,Guaraçaí,Andradina,Araçatuba,Araçatuba
351790,3517901,Guaraci,Barretos,Ribeirão Preto,São José do Rio Preto
351800,3518008,Guarani d'Oeste,Fernandópolis,São José do Rio Preto,São José do Rio Preto
351810,3518107,Guarantã,Lins,Bauru,Bauru
351820,3518206,Guararapes,Araçatuba,Araçatuba,Araçatuba
351830,3518305,Guararema,São Paulo,São Paulo,Metropolitana de São Paulo
351840,3518404,Guaratinguetá,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista
351850,3518503,Guareí,Itapetininga,Sorocaba,Itapetininga
351860,3518602,Guariba,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
351870,3518701,Guarujá,Santos,São Paulo,Metropolitana de São Paulo
351880,3518800,Guarulhos,São Paulo,São Paulo,Metropolitana de São Paulo
351885,3518859,Guatapará,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
351890,3518909,Guzolândia,Araçatuba,Araçatuba,São José do Rio Preto
351900,3519006,Herculândia,Tupã,Marília,Marília
351905,3519055,Holambra,Campinas,Campinas,Campinas
351907,3519071,Hortolândia,Campinas,Campinas,Campinas
351910,3519105,Iacanga,Bauru,Bauru,Bauru
351920,3519204,Iacri,Tupã,Marília,Marília
351925,3519253,Iaras,Avaré,Sorocaba,Bauru
351930,3519303,Ibaté,São Carlos,Araraquara,Araraquara
351940,3519402,Ibirá,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
351950,3519501,Ibirarema,Ourinhos,Marília,Assis
351960,3519600,Ibitinga,Araraquara,Araraquara,Araraquara
351970,3519709,Ibiúna,Sorocaba,Sorocaba,Macro Metropolitana Paulista
351980,3519808,Icém,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
351990,3519907,Iepê,Presidente Prudente,Presidente Prudente,Assis
352000,3520004,Igaraçu do Tietê,Jaú,Bauru,Bauru
352010,3520103,Igarapava,Ituverava,Ribeirão Preto,Ribeirão Preto
352020,3520202,Igaratá,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista
352030,3520301,Iguape,Registro,Sorocaba,Litoral Sul Paulista
352040,3520400,Ilhabela,Caraguatatuba - Ubatuba - São Sebastião,São José dos Campos,Vale do Paraíba Paulista
352042,3520426,Ilha Comprida,Registro,Sorocaba,Litoral Sul Paulista
352044,3520442,Ilha Solteira,Andradina,Araçatuba,Araçatuba
352050,3520509,Indaiatuba,Campinas,Campinas,Campinas
352060,3520608,Indiana,Presidente Prudente,Presidente Prudente,Presidente Prudente
352070,3520707,Indiaporã,Fernandópolis,São José do Rio Preto,São José do Rio Preto
352080,3520806,Inúbia Paulista,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
352090,3520905,Ipaussu,Ourinhos,Marília,Assis
352100,3521002,Iperó,Sorocaba,Sorocaba,Macro Metropolitana Paulista
352110,3521101,Ipeúna,Rio Claro,Campinas,Piracicaba
352115,3521150,Ipiguá,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto
352120,3521200,Iporanga,Registro,Sorocaba,Itapetininga
352130,3521309,Ipuã,São Joaquim da Barra ¿ Orlândia,Ribeirão Preto,Ribeirão Preto
352140,3521408,Iracemápolis,Limeira,Campinas,Piracicaba
