codigo,municipio,periodo,valor_total
350790,BROTAS,2025/Jul,41798.32
350790,BROTAS,2025/Ago,40365.58
350790,BROTAS,2025/Set,31764.85
350790,BROTAS,2025/Out,28310.5
350790,BROTAS,2025/Nov,27635.18
350790,BROTAS,2025/Dez,33212.15
350790,BROTAS,2026/Jan,36376.15
350790,BROTAS,2026/Fev,30117.26
350790,BROTAS,2026/Mar,51348.55
350790,BROTAS,2026/Abr,42948.58
350790,BROTAS,2026/Mai,45378.72
350790,BROTAS,2026/Jun,46057.3
350810,BURITAMA,2025/Jul,77203.4
350810,BURITAMA,2025/Ago,76657.96
350810,BURITAMA,2025/Set,67461.36
350810,BURITAMA,2025/Out,86060.81
350810,BURITAMA,2025/Nov,59376.31
350810,BURITAMA,2025/Dez,73487.7
350810,BURITAMA,2026/Jan,51968.13
350810,BURITAMA,2026/Fev,51895.84
350810,BURITAMA,2026/Mar,80142.27
350810,BURITAMA,2026/Abr,74135.7
350810,BURITAMA,2026/Mai,102377.32
350810,BURITAMA,2026/Jun,83893.29
350840,CABREUVA,2025/Jul,28806.17
350840,CABREUVA,2025/Ago,15381.4
350840,CABREUVA,2025/Set,11930.71
350840,CABREUVA,2025/Nov,34441.37
350840,CABREUVA,2025/Dez,85025.65
350840,CABREUVA,2026/Jan,29093.45
350840,CABREUVA,2026/Fev,28820.22
350840,CABREUVA,2026/Mar,25879.8
350840,CABREUVA,2026/Abr,23888.92
350840,CABREUVA,2026/Mai,16128.65
350840,CABREUVA,2026/Jun,24482.32
350850,CACAPAVA,2025/Jul,315288.26
350850,CACAPAVA,2025/Ago,576246.74
350850,CACAPAVA,2025/Set,456957.56
350850,CACAPAVA,2025/Out,302211.99
350850,CACAPAVA,2025/Nov,358274.88
350850,CACAPAVA,2025/Dez,289695.59
350850,CACAPAVA,2026/Jan,238043.74
350850,CACAPAVA,2026/Fev,378831.33
350850,CACAPAVA,2026/Mar,61291.83
350850,CACAPAVA,2026/Abr,273834.75
350850,CACAPAVA,2026/Mai,321297.82
350850,CACAPAVA,2026/Jun,441148.15
350870,CACONDE,2025/Jul,287427.52
350870,CACONDE,2025/Ago,278517.12
350870,CACONDE,2025/Set,385476.97
350870,CACONDE,2025/Out,351064.59
350870,CACONDE,2025/Nov,371638.87
350870,CACONDE,2025/Dez,285624.31
350870,CACONDE,2026/Jan,114573.49
350870,CACONDE,2026/Fev,295656.94
350870,CACONDE,2026/Mar,363421.28
350870,CACONDE,2026/Abr,355404.37
350870,CACONDE,2026/Mai,353849.02
350870,CACONDE,2026/Jun,348193.9
350880,CAFELANDIA,2025/Jul,40011.76
350880,CAFELANDIA,2025/Ago,34156.38
350880,CAFELANDIA,2025/Set,26555.05
350880,CAFELANDIA,2025/Out,23543.69
350880,CAFELANDIA,2025/Nov,29904.29
350880,CAFELANDIA,2025/Dez,23061.98
350880,CAFELANDIA,2026/Jan,23647.81
350880,CAFELANDIA,2026/Fev,22100.96
350880,CAFELANDIA,2026/Mar,22479.85
350880,CAFELANDIA,2026/Abr,20889.29
350880,CAFELANDIA,2026/Mai,28444.57
350880,CAFELANDIA,2026/Jun,29478.62
350900,CAIEIRAS,2025/Jul,247136.32
350900,CAIEIRAS,2025/Ago,219659.32
350900,CAIEIRAS,2025/Set,199683.81
350900,CAIEIRAS,2025/Out,225198.46
350900,CAIEIRAS,2025/Nov,262878.92
350900,CAIEIRAS,2025/Dez,237759.15
350900,CAIEIRAS,2026/Jan,238871.32
350900,CAIEIRAS,2026/Fev,245038.41
350900,CAIEIRAS,2026/Mar,262805.33
350900,CAIEIRAS,2026/Abr,231671.49
350900,CAIEIRAS,2026/Mai,314898.05
350900,CAIEIRAS,2026/Jun,286988.82
350920,CAJAMAR,2025/Jul,91735.75
