codigo,municipio,capitulo_cid10,internacoes
350270,APIAI,Cap 03,78.0
350270,APIAI,Cap 04,65.0
350270,APIAI,Cap 05,59.0
350270,APIAI,Cap 06,55.0
350270,APIAI,Cap 08,4.0
350270,APIAI,Cap 09,390.0
350270,APIAI,Cap 10,527.0
350270,APIAI,Cap 11,558.0
350270,APIAI,Cap 12,283.0
350270,APIAI,Cap 13,33.0
350270,APIAI,Cap 14,375.0
350270,APIAI,Cap 15,587.0
350270,APIAI,Cap 16,48.0
350270,APIAI,Cap 17,14.0
350270,APIAI,Cap 18,22.0
350270,APIAI,Cap 19,104.0
350270,APIAI,Cap 21,402.0
350280,ARACATUBA,Cap 01,472.0
350280,ARACATUBA,Cap 02,1552.0
350280,ARACATUBA,Cap 03,86.0
350280,ARACATUBA,Cap 04,176.0
350280,ARACATUBA,Cap 05,8.0
350280,ARACATUBA,Cap 06,601.0
350280,ARACATUBA,Cap 07,144.0
350280,ARACATUBA,Cap 08,46.0
350280,ARACATUBA,Cap 09,2143.0
350280,ARACATUBA,Cap 10,1391.0
350280,ARACATUBA,Cap 11,1353.0
350280,ARACATUBA,Cap 12,377.0
350280,ARACATUBA,Cap 13,358.0
350280,ARACATUBA,Cap 14,1063.0
350280,ARACATUBA,Cap 15,1342.0
350280,ARACATUBA,Cap 16,537.0
350280,ARACATUBA,Cap 17,83.0
350280,ARACATUBA,Cap 18,176.0
350280,ARACATUBA,Cap 19,2085.0
350280,ARACATUBA,Cap 21,38.0
350310,ARANDU,Cap 01,17.0
350310,ARANDU,Cap 03,4.0
350310,ARANDU,Cap 04,8.0
350310,ARANDU,Cap 09,18.0
350310,ARANDU,Cap 10,33.0
350310,ARANDU,Cap 11,1.0
350310,ARANDU,Cap 14,12.0
350320,ARARAQUARA,Cap 01,363.0
350320,ARARAQUARA,Cap 02,2723.0
350320,ARARAQUARA,Cap 03,161.0
350320,ARARAQUARA,Cap 04,260.0
350320,ARARAQUARA,Cap 05,586.0
350320,ARARAQUARA,Cap 06,516.0
350320,ARARAQUARA,Cap 07,747.0
350320,ARARAQUARA,Cap 08,17.0
350320,ARARAQUARA,Cap 09,2962.0
350320,ARARAQUARA,Cap 10,1022.0
350320,ARARAQUARA,Cap 11,1724.0
350320,ARARAQUARA,Cap 12,206.0
350320,ARARAQUARA,Cap 13,535.0
350320,ARARAQUARA,Cap 14,1010.0
350320,ARARAQUARA,Cap 15,2672.0
350320,ARARAQUARA,Cap 16,383.0
350320,ARARAQUARA,Cap 17,64.0
350320,ARARAQUARA,Cap 18,2916.0
350320,ARARAQUARA,Cap 19,1891.0
350320,ARARAQUARA,Cap 21,623.0
350330,ARARAS,Cap 01,292.0
350330,ARARAS,Cap 02,593.0
350330,ARARAS,Cap 03,28.0
350330,ARARAS,Cap 04,175.0
350330,ARARAS,Cap 05,35.0
350330,ARARAS,Cap 06,81.0
350330,ARARAS,Cap 07,23.0
350330,ARARAS,Cap 08,11.0
350330,ARARAS,Cap 09,1268.0
350330,ARARAS,Cap 10,850.0
350330,ARARAS,Cap 11,1123.0
350330,ARARAS,Cap 12,150.0
350330,ARARAS,Cap 13,85.0
350330,ARARAS,Cap 14,779.0
350330,ARARAS,Cap 15,1146.0
350330,ARARAS,Cap 16,277.0
350330,ARARAS,Cap 17,62.0
350330,ARARAS,Cap 18,138.0
350330,ARARAS,Cap 19,722.0
350330,ARARAS,Cap 21,212.0
350340,AREALVA,Cap 01,5.0
350340,AREALVA,Cap 02,10.0
350340,AREALVA,Cap 03,3.0
350340,AREALVA,Cap 04,3.0
350340,AREALVA,Cap 05,21.0
350340,AREALVA,Cap 06,6.0
350340,AREALVA,Cap 08,1.0
350340,AREALVA,Cap 09,28.0
350340,AREALVA,Cap 10,29.0
350340,AREALVA,Cap 11,22.0
350340,AREALVA,Cap 12,4.0
350340,AREALVA,Cap 13,3.0
350340,AREALVA,Cap 14,36.0
350340,AREALVA,Cap 15,23.0
350340,AREALVA,Cap 18,15.0
350340,AREALVA,Cap 19,48.0
350340,AREALVA,Cap 21,3.0
350400,ASSIS,Cap 01,495.0
350400,ASSIS,Cap 02,944.0
350400,ASSIS,Cap 03,110.0
350400,ASSIS,Cap 04,115.0
350400,ASSIS,Cap 05,341.0
350400,ASSIS,Cap 06,131.0
350400,ASSIS,Cap 07,1.0
350400,ASSIS,Cap 08,4.0
350400,ASSIS,Cap 09,1477.0
350400,ASSIS,Cap 10,840.0
350400,ASSIS,Cap 11,1541.0
350400,ASSIS,Cap 12,161.0
350400,ASSIS,Cap 13,205.0
350400,ASSIS,Cap 14,1182.0
350400,ASSIS,Cap 15,1560.0
350400,ASSIS,Cap 16,260.0
350400,ASSIS,Cap 17,48.0
350400,ASSIS,Cap 18,206.0
350400,ASSIS,Cap 19,1088.0
350400,ASSIS,Cap 21,310.0
350410,ATIBAIA,Cap 01,183.0
350410,ATIBAIA,Cap 02,122.0
350410,ATIBAIA,Cap 03,29.0
350410,ATIBAIA,Cap 04,80.0
350410,ATIBAIA,Cap 05,3.0
